filename,psnr_ssim,psnr_edge,ssim_ssim,ssim_edge,mae_ssim,mae_edge,mse_ssim,mse_edge,grad_mae_ssim,grad_mae_edge,d_PSNR,d_SSIM,d_MAE,d_MSE,d_GradMAE
000474.npy,29.48444260298004,29.611278936842513,0.8223572122331704,0.8315514528350015,0.02203751914203167,0.021563367918133736,0.0011260448954999447,0.001093634287826717,0.13563056,0.13154681,0.1268363338624745,0.00919424060183116,-0.00047415122389793396,-3.241060767322779e-05,-0.0040837526
000488.npy,26.64714400433185,26.67743768145109,0.7856276076582298,0.7862727388975248,0.028556115925312042,0.02851155772805214,0.0021641412749886513,0.0021490980871021748,0.24462992,0.24375156,0.03029367711923925,0.0006451312392949937,-4.4558197259902954e-05,-1.5043187886476517e-05,-0.00087836385
000492.npy,23.902436879522075,23.919079971787248,0.7716638505177871,0.7713886173870154,0.03823956102132797,0.03815549612045288,0.004071517381817102,0.00405594427138567,0.32505134,0.3241148,0.016643092265173465,-0.00027523313077171263,-8.406490087509155e-05,-1.5573110431432724e-05,-0.000936538
000502.npy,25.858390213794898,25.870690899862247,0.6393314570136442,0.6379852161338831,0.038307685405015945,0.038233980536460876,0.0025951412972062826,0.0025878013111650944,0.29770672,0.29570383,0.012300686067348465,-0.0013462408797610959,-7.370486855506897e-05,-7.33998604118824e-06,-0.0020028949
000540.npy,26.117893248397102,26.074065025050803,0.5897941701086433,0.5844088519987549,0.03807208314538002,0.03845042735338211,0.0024446160532534122,0.0024694115854799747,0.2403889,0.24055065,-0.04382822334629921,-0.005385318109888404,0.00037834420800209045,2.47955322265625e-05,0.0001617521
000562.npy,22.065959952684572,22.13357083806409,0.5157935505177365,0.5177828531167183,0.055654510855674744,0.05522705242037773,0.006214468739926815,0.00611847173422575,0.44135642,0.43711156,0.0676108853795192,0.00198930259898189,-0.00042745843529701233,-9.599700570106506e-05,-0.004244864
000563.npy,22.47276086021671,22.536633643186303,0.5299282440491982,0.5321370114860124,0.052302565425634384,0.05194103717803955,0.005658794194459915,0.005576178431510925,0.41347182,0.4109789,0.06387278296959309,0.0022087674368141963,-0.0003615282475948334,-8.261576294898987e-05,-0.0024929047
000586.npy,26.389153844149995,26.398304017750718,0.4177018727579862,0.41751712545151637,0.0377124585211277,0.03767925500869751,0.0022965960670262575,0.002291762502864003,0.2885392,0.28786486,0.009150173600723122,-0.00018474730646983462,-3.320351243019104e-05,-4.8335641622543335e-06,-0.00067433715
000600.npy,29.43882926501591,29.42673742434581,0.8503290423474945,0.8500057708678246,0.02140558511018753,0.021528806537389755,0.001137934043072164,0.0011411067098379135,0.14560133,0.14391886,-0.012091840670102272,-0.00032327147966992875,0.00012322142720222473,3.1726667657494545e-06,-0.0016824752
000608.npy,24.650499700870533,24.662842932205486,0.7754008145850152,0.7749579071985166,0.03603365644812584,0.03609107434749603,0.0034272836055606604,0.0034175566397607327,0.29733264,0.29556707,0.01234323133495252,-0.00044290738649854777,5.741789937019348e-05,-9.726965799927711e-06,-0.001765579
