filename,psnr_champ,psnr_adv,ssim_champ,ssim_adv,mae_champ,mae_adv,mse_champ,mse_adv,grad_mae_champ,grad_mae_adv,d_PSNR,d_SSIM,d_MAE,d_MSE,d_GradMAE
000403.npy,28.302538086034275,28.562121405343138,0.7474431021619404,0.7724226996052345,0.02628619596362114,0.02508794702589512,0.0014782443176954985,0.0013924764934927225,0.15446855,0.1424282,0.259583319308863,0.024979597443294033,-0.0011982489377260208,-8.576782420277596e-05,-0.012040347
000418.npy,28.00763126592536,28.215666524042486,0.47354960195438006,0.47367274901403117,0.030934210866689682,0.030301127582788467,0.0015821106499060988,0.001508111134171486,0.23973684,0.23529923,0.20803525811712476,0.0001231470596511075,-0.0006330832839012146,-7.399951573461294e-05,-0.0044376105
000452.npy,31.84538339778481,32.031200358484085,0.896516123920381,0.9099820038910955,0.016228849068284035,0.015537843108177185,0.0006538252346217632,0.0006264406838454306,0.10628007,0.097024515,0.1858169606992739,0.013465879970714467,-0.0006910059601068497,-2.7384550776332617e-05,-0.009255558
000455.npy,23.887375171807413,23.91959006993225,0.4032149944320289,0.40136856902866974,0.04774854704737663,0.04735875874757767,0.004085662309080362,0.004055467899888754,0.39386982,0.39307374,0.03221489812483824,-0.0018464254033591643,-0.00038978829979896545,-3.019440919160843e-05,-0.00079607964
000459.npy,23.565529214099993,23.507282405091644,0.6390227122879093,0.6420525823145018,0.04149404913187027,0.041609372943639755,0.0043999431654810905,0.004459352232515812,0.33786488,0.33835667,-0.05824680900834878,0.003029870026592496,0.00011532381176948547,5.9409067034721375e-05,0.0004917979
000466.npy,26.617340807324897,26.70109925355231,0.34210100712873975,0.3411060336017013,0.03688984736800194,0.03660239651799202,0.0021790433675050735,0.0021374209318310022,0.22294386,0.21963607,0.08375844622741369,-0.0009949735270384785,-0.0002874508500099182,-4.162243567407131e-05,-0.0033077896
000474.npy,29.611278936842513,29.619457221993258,0.8315514528350015,0.8480462334670769,0.021563367918133736,0.021814171224832535,0.001093634287826717,0.0010915767634287477,0.13154681,0.12249974,0.008178285150744813,0.016494780632075323,0.00025080330669879913,-2.057524397969246e-06,-0.009047069
000488.npy,26.67743768145109,26.60961629979729,0.7862727388975248,0.7782960619753897,0.02851155772805214,0.028835317119956017,0.0021490980871021748,0.0021829227916896343,0.24375156,0.24561346,-0.06782138165380047,-0.007976676922135106,0.00032375939190387726,3.3824704587459564e-05,0.0018619001
000492.npy,23.919079971787248,23.872129122602797,0.7713886173870154,0.7704654869063645,0.03815549612045288,0.03832641988992691,0.00405594427138567,0.00410003075376153,0.3241148,0.32588628,-0.04695084918445147,-0.0009231304806508467,0.00017092376947402954,4.4086482375860214e-05,0.0017714798
000502.npy,25.870690899862247,25.912992657468706,0.6379852161338831,0.6406335861394643,0.038233980536460876,0.03817143663764,0.0025878013111650944,0.0025627175346016884,0.29570383,0.29407656,0.04230175760645949,0.0026483700055811576,-6.254389882087708e-05,-2.508377656340599e-05,-0.0016272664
000540.npy,26.074065025050803,25.83087370088121,0.5844088519987549,0.5602514239305763,0.03845042735338211,0.03964424878358841,0.0024694115854799747,0.0026116359513252974,0.24055065,0.24371286,-0.24319132416959377,-0.024157428068178666,0.0011938214302062988,0.0001422243658453226,0.0031622052
000562.npy,22.13357083806409,22.092823028548136,0.5177828531167183,0.5167186830301191,0.05522705242037773,0.05560552701354027,0.00611847173422575,0.006176147609949112,0.43711156,0.43388507,-0.040747809515956135,-0.0010641700865992032,0.0003784745931625366,5.767587572336197e-05,-0.0032264888
000563.npy,22.536633643186303,22.4550440038223,0.5321370114860124,0.5257366773092826,0.05194103717803955,0.05263847857713699,0.005576178431510925,0.005681926384568214,0.4109789,0.40979534,-0.08158963936400099,-0.006400334176729805,0.0006974413990974426,0.00010574795305728912,-0.0011835694
000586.npy,26.398304017750718,26.458586593196706,0.41751712545151637,0.41746810037243737,0.03767925500869751,0.03748239204287529,0.002291762502864003,0.002260171342641115,0.28786486,0.28555378,0.060282575445988584,-4.9025079079001443e-05,-0.00019686296582221985,-3.159116022288799e-05,-0.0023110807
000600.npy,29.42673742434581,29.562290324004405,0.8500057708678246,0.8559298374709068,0.021528806537389755,0.021109579131007195,0.0011411067098379135,0.0011060403194278479,0.14391886,0.1412471,0.1355528996585953,0.005924066603082201,-0.00041922740638256073,-3.506639041006565e-05,-0.0026717633
000608.npy,24.662842932205486,24.719871857445902,0.7749579071985166,0.7812205178499668,0.03609107434749603,0.03571697324514389,0.0034175566397607327,0.003372972598299384,0.29556707,0.29155442,0.057028925240416584,0.006262610651450173,-0.00037410110235214233,-4.4584041461348534e-05,-0.0040126443
000623.npy,22.58183796094817,22.64863079834194,0.5706095454050885,0.5851477918853923,0.054740577936172485,0.05430399253964424,0.005518438760191202,0.005434216465801001,0.44683686,0.44170484,0.06679283739376984,0.014538246480303885,-0.000436585396528244,-8.422229439020157e-05,-0.0051320195
000627.npy,10.571427215551028,10.663119594203243,0.24411506904700636,0.23836524963343303,0.23999769985675812,0.23853184282779694,0.08767126500606537,0.0858396664261818,1.6067615,1.5725784,0.09169237865221547,-0.005749819413573332,-0.0014658570289611816,-0.0018315985798835754,-0.034183025
000640.npy,25.70113746562415,25.765236011042422,0.6709781600549396,0.6666576586815585,0.03671983256936073,0.03681593015789986,0.00269083003513515,0.0026514071505516768,0.28588948,0.28216058,0.06409854541827187,-0.004320501373381136,9.609758853912354e-05,-3.9422884583473206e-05,-0.0037288964
000641.npy,20.47204256169918,20.513114297077244,0.2597797689221519,0.27645392682996417,0.07494354993104935,0.07456620037555695,0.008970067836344242,0.008885636925697327,0.63508123,0.6291397,0.041071735378064744,0.016674157907812293,-0.0003773495554924011,-8.443091064691544e-05,-0.00594151
000646.npy,24.876736243608665,24.779772532331364,0.5991843228719095,0.5894547717692843,0.042810697108507156,0.04323697090148926,0.0032533169724047184,0.003326769918203354,0.33724314,0.3375308,-0.09696371127730075,-0.009729551102625189,0.00042627379298210144,7.345294579863548e-05,0.00028765202
000648.npy,23.695575645711497,23.756747141009647,0.7441431592224166,0.7531265780155845,0.049242619425058365,0.04884825274348259,0.004270143341273069,0.004210418555885553,0.4233033,0.4194775,0.0611714952981508,0.008983418793167885,-0.00039436668157577515,-5.972478538751602e-05,-0.0038258135
000659.npy,22.1148508181897,22.046995874120945,0.743323520329942,0.7409837819687236,0.05327164754271507,0.054017163813114166,0.006144901737570763,0.006241664756089449,0.4120361,0.4178946,-0.06785494406875614,-0.0023397383612183686,0.0007455162703990936,9.67630185186863e-05,0.0058585107
